Title,Release Date,Developer,Publisher,Genre,Age Rating,Platform
htoL#NiQ: The Firefly Diary,2/24/2015,Nippon Ichi Software,NIS America,2D Platformer,Teen,PlayStation Vita
Barrow Hill: Curse of the Ancient Circle,8/25/2006,Shadow Tor Studios,Got Game Entertainment,Point-and-Click,Teen,PC
Skullgirls: 2nd Encore,7/7/2015,Lab Zero Games,Autumn Games,2D Fighting,Teen,PlayStation Vita
Atlantis Evolution,10/17/2004,Atlantis Interactive Entertainment,The Adventure Company,Third-Person Adventure,Teen,PC
Wonder Boy: Asha in Monster World,5/28/2021,Artdink,ININ Games,2D Platformer,Everyone +10,Nintendo Switch
The Golf Club 2019 featuring PGA Tour,8/28/2018,HB Studios Multimedia,HB Studios Multimedia,Golf Sim,Everyone,PlayStation 4
Naruto: Ninja Council 2,10/4/2006,Aspect,D3Publisher,2D Beat-'Em-Up,Everyone +10,Game Boy Advance
Vampire Rain,7/3/2007,Artoon,AQ Interactive,Survival,Mature,Xbox 360
Astro Boy,8/18/2004,Sonic Team,Sega,Action,Everyone,PlayStation 2
Donkey Kong: Barrel Blast,10/8/2007,Paon Corporation,Nintendo,Arcade Racing,Everyone,Wii
Still Life 2,8/11/2009,GameCo,Encore Software,Adventure,Mature,PC
LEGO The Hobbit,4/8/2014,TT Games,Warner Bros. Interactive Entertainment,Action Adventure,Everyone +10,PlayStation 3
Metro 2033,3/16/2010,4A Games,THQ,FPS,Mature,PC
Star Wars Jedi: Survivor,4/28/2023,Respawn Entertainment,Limited Run Games,Action Adventure,Teen,PC
Monkey Island 2 Special Edition: LeChuck's Revenge,7/7/2010,LucasArts,LucasArts,Point-and-Click,Everyone +10,PC
Empire Earth II,4/26/2005,Mad Doc Software,Sierra Entertainment,Real-Time Strategy,Teen,PC
NHL 16,9/15/2015,EA Canada,EA Sports,Hockey Sim,Everyone +10,PlayStation 4
Need for Speed: Hot Pursuit 2,10/2/2002,EA Black Box,Electronic Arts,Auto Racing,Everyone,GameCube
Shrek 2 (2004),4/28/2004,Vicarious Visions,Activision,2D Platformer,Everyone,Game Boy Advance
Zoo Tycoon: Marine Mania,10/21/2002,Blue Fang Games,Microsoft Game Studios,Tycoon,Everyone,PC
South Park: Tenorman's Revenge,3/30/2012,Other Ocean Interactive,Other Ocean Interactive,Action,Mature,Xbox 360
Dragon Ball: Revenge of King Piccolo,10/20/2009,Media.Vision,Namco Bandai Games,2D Beat-'Em-Up,Everyone +10,Wii
Jack Jeanne,6/15/2023,Broccoli,Aksys Games,Visual Novel,Teen,Nintendo Switch
ONRUSH,6/5/2018,Codemasters,Codemasters,Auto Racing,Everyone +10,PlayStation 4
F1 2013,10/8/2013,Codemasters,Codemasters,Auto Racing Sim,Everyone,PlayStation 3
Valhalla Knights 3,10/15/2013,K2,XSEED Games,Action RPG,Mature,PlayStation Vita
Pillars of Eternity: The White March - Part 2,2/16/2016,Obsidian Entertainment,Paradox Interactive,Western RPG,Mature,PC
Line of Sight: Vietnam,3/5/2003,Nfusion,Infogrames,FPS,Mature,PC
Tekken 4,9/23/2002,Namco,Namco,3D Fighting,Teen,PlayStation 2
Pitfall: The Mayan Adventure,6/10/2001,Pipe Dream Interactive,Majesco,2D Platformer,Everyone,Game Boy Advance
The Elder Scrolls IV: Oblivion,3/20/2006,Bethesda Game Studios,2K Games,Western RPG,Mature,Xbox 360
Romance of the Three Kingdoms VIII,8/13/2003,Koei,Koei,Turn-Based Strategy,Everyone,PlayStation 2
Super Princess Peach,2/27/2006,TOSE,Nintendo,2D Platformer,Everyone,DS
Final Fantasy III (3D Remake),11/14/2006,Matrix Software,Square Enix,JRPG,Everyone +10,DS
The Yakuza Remastered Collection,8/20/2019,Ryu ga Gotoku Studios,Sega,Compilation,Mature,PlayStation 4
Nintendo Switch Sports,4/29/2022,Nintendo,Nintendo,Athletics,Everyone +10,Nintendo Switch
Golazo!,9/12/2019,Purple Tree,Klabater,Soccer,Everyone,Nintendo Switch
Mortal Kombat 11 Ultimate,11/17/2020,NetherRealm Studios,Warner Bros. Games,2D Fighting,Mature,PlayStation 4
RIVE,9/13/2016,Two Tribes,Two Tribes,2D Platformer,Everyone +10,PC
Nintendo Land,11/18/2012,Nintendo,Nintendo,Party,Everyone +10,Wii U
Halo: Spartan Strike,4/16/2015,343 Industries,Microsoft Game Studios,Top-Down Shoot-'Em-Up,Teen,PC
The Witch and the Hundred Knight 2,3/27/2018,Nippon Ichi Software,NIS America,Action RPG,Teen,PlayStation 4
Gorasul: Legacy of the Dragon,11/26/2001,Silver Style,JoWooD Entertainment AG,RPG,Teen,PC
Zoids Assault,9/9/2008,Takara Tomy,Atlus,Turn-Based Strategy,Teen,Xbox 360
Strike Fighters: Project 1,10/27/2002,Third Wire,Strategy First,Aircraft Combat Sim,Teen,PC
My Hero One's Justice 2,3/13/2020,Bandai Namco Games,Bandai Namco Games,3D Fighting,Teen,Nintendo Switch
Battlefield V,11/20/2018,EA DICE,Electronic Arts,Tactical FPS,Mature,Xbox One
Project CARS 2,9/22/2017,Slightly Mad Studios,Bandai Namco Games,Auto Racing Sim,Everyone,PC
Kingdom Hearts: Birth by Sleep,9/7/2010,Square Enix,Square Enix,Action RPG,Everyone +10,PSP
Digimon All-Star Rumble,11/11/2014,Prope,Bandai Namco Games,3D Fighting,Everyone +10,PlayStation 3
Ape Escape Academy,1/17/2006,Shift,SCEA,Party,Everyone +10,PSP
Operation Flashpoint: Dragon Rising,10/6/2009,Codemasters,Codemasters,Tactical FPS,Mature,PlayStation 3
Pro Cycling Manager Season 2008: Le Tour de France,6/27/2008,Cyanide,Focus Home Interactive,Biking,Everyone,PC
Home Sweet Home (2018),10/16/2018,Mastiff,Mastiff,First-Person Adventure,Mature,PC
F1 Manager 2023,7/31/2023,Frontier Developments,Frontier Developments,Auto Racing Sim,Everyone,PC
Brink,5/10/2011,Splash Damage,Bethesda Softworks,FPS,Teen,Xbox 360
IL-2 Sturmovik: Cliffs of Dover,4/26/2011,1C: Maddox Games,Ubisoft,Aircraft Combat Sim,Teen,PC
Rise of Nations: Rise of Legends,5/9/2006,Big Huge Games,Microsoft Game Studios,Real-Time Strategy,Teen,PC
Ori and the Will of the Wisps,3/11/2020,Moon Studios,Microsoft Game Studios,Metroidvania,Everyone,Xbox One
Marvel's Spider-Man: Turf Wars,11/20/2018,Insomniac Games,Sony Interactive Entertainment,Open-World Action,Teen,PlayStation 4
Prince of Persia Trilogy,4/19/2011,Ubisoft,Ubisoft,Compilation,Mature,PlayStation 3
Until Dawn: Rush of Blood,10/10/2016,Supermassive Games,Sony Interactive Entertainment,Rail Shooter,Mature,PlayStation 4
Empires: Dawn of the Modern World,10/21/2003,Stainless Steel Studios,Activision,Real-Time Strategy,Teen,PC
Company of Heroes 2: Ardennes Assault,11/17/2014,Relic Entertainment,Sega,Real-Time Strategy,Mature,PC
Godzilla: Destroy All Monsters Melee,10/8/2002,"Pipeworks Software, Inc.",Atari SA,3D Fighting,Teen,GameCube
The Legend of Spyro: Dawn of the Dragon (2008),10/21/2008,Etranges Libellules,Activision,3D Platformer,Everyone +10,PlayStation 3
Star Wars Galaxies: Jump to Lightspeed,10/26/2004,Sony Online Entertainment,LucasArts,MMORPG,Teen,PC
ModNation Racers,5/25/2010,United Front Games,SCEA,Arcade Racing,Everyone,PlayStation 3
Kingdom Under Fire: A War of Heroes,1/18/2001,Bloom Technology,Gathering,Real-Time Strategy,Teen,PC
World of Warcraft: Warlords of Draenor,11/13/2014,Blizzard Entertainment,Blizzard Entertainment,MMORPG,Teen,PC
Links 2004,11/11/2003,Indie Built,Microsoft Game Studios,Golf Sim,Everyone,Xbox
Pure,9/23/2008,Black Rock Studio,Disney Interactive Studios,Auto Racing,Everyone,PC
Medieval Moves: Deadmund's Quest,11/15/2011,Zindagi Games,SCEA,Action Adventure,Everyone +10,PlayStation 3
Reventure,10/8/2019,Pixelatto,Pixelatto,Open-World Action,Teen,PC
Infinite Crisis,3/26/2015,Turbine Inc.,Warner Bros. Interactive Entertainment,MOBA,Teen,PC
Mega Man Powered Up,3/14/2006,Capcom,Capcom,2D Platformer,Everyone,PSP
Wii Fit U,11/1/2013,Nintendo,Nintendo,Exercise,Everyone,Wii U
Ace Combat 7: Skies Unknown,1/18/2019,Project Aces,Bandai Namco Games,Aircraft Combat Sim,Teen,PlayStation 4
Mobile Suit Gundam: Extreme VS. MaxiBoost ON,7/30/2020,Bandai Namco Games,Bandai Namco Games,3D Fighting,Teen,PlayStation 4
Hyperdimension Neptunia Victory,3/21/2013,Compile Heart,NIS America,JRPG,Teen,PlayStation 3
ARK Park,3/22/2018,Snail Games,Studio Wildcard,First-Person Adventure,Teen,PC
Yoshi Topsy-Turvy,6/13/2005,Artoon,Nintendo,2D Platformer,Everyone,Game Boy Advance
The Liar Princess and the Blind Prince,2/12/2019,Nippon Ichi Software,NIS America,Action Adventure,Everyone +10,Nintendo Switch
Kingdom Hearts HD 2.5 ReMIX,12/2/2014,Square Enix,Square Enix,Compilation,Everyone +10,PlayStation 3
Session: Skate Sim,9/22/2022,Crea-ture Studios,Nacon,Skating,Teen,PC
Call of Duty: Modern Warfare III,11/10/2023,Infinity Ward,Activision,Tactical FPS,Mature,Xbox Series X
Tropico,4/5/2001,PopTop Software,Gathering,Management,Teen,PC
Ground Control II: Operation Exodus,6/23/2004,Massive Entertainment,VU Games,Real-Time Tactics,Teen,PC
GoldenEye 007,8/25/1997,Rare Ltd.,Nintendo,FPS,Teen,Nintendo 64
Star Wars Episode I: Jedi Power Battles,10/4/2000,LucasArts,LucasArts,3D Beat-'Em-Up,Teen,Dreamcast
WWE Day of Reckoning 2,8/29/2005,Yuke's,THQ,Wrestling,Teen,GameCube
Little Inferno,11/18/2012,Tomorrow Corporation,Tomorrow Corporation,Action Puzzle,Teen,PC
The Suffering: Ties That Bind,9/26/2005,Surreal Software,Midway,Survival,Mature,Xbox
Banjo-Kazooie: Grunty's Revenge,9/10/2003,Rare Ltd.,THQ,3D Platformer,Everyone,Game Boy Advance
Pokemon Ultra Moon,11/17/2017,Game Freak,Nintendo,Trainer RPG,Everyone,3DS
Painkiller: Overdose,10/26/2007,Mindware Studios,DreamCatcher Interactive,FPS,Mature,PC
Separation,3/4/2020,Recluse Industries,Recluse Industries,First-Person Adventure,Everyone,PlayStation 4
Valkyria Chronicles,11/4/2008,Sega,Sega,Turn-Based Tactics,Teen,PlayStation 3
Steredenn,4/1/2016,Pixelnest Studio,Plug In Digital,Horizontal Shoot-'Em-Up,Everyone +10,PC
The King of Fighters XV,2/14/2022,SNK Corporation,Prime Matter,2D Fighting,Teen,PlayStation 4
Mega Man Legacy Collection + Mega Man Legacy Collection 2,5/22/2018,Digital Eclipse,Capcom,Compilation,Everyone +10,Nintendo Switch
Sam & Max Episode 101: Culture Shock,10/18/2006,Telltale Games,GameTap,Point-and-Click,Teen,PC
The Sims 4: Get Famous,11/16/2018,Electronic Arts,Electronic Arts,Virtual Life,Teen,PC
SG/ZH: School Girl Zombie Hunter,11/17/2017,Tamsoft,Aksys Games,Third Person Shooter,Mature,PlayStation 4
Call of Duty: WWII - The Resistance,1/30/2018,Sledgehammer Games,Activision,FPS,Mature,PlayStation 4
Legend of the North: Konung,12/31/2000,1C Entertainment,Strategy First,RPG,Teen,PC
Nioh: Bloodshed's End,9/26/2017,Team Ninja,Sony Interactive Entertainment,Action RPG,Mature,PlayStation 4
Twin Breaker: A Sacred Symbols Adventure,3/24/2020,Lillymo Games,Lillymo Games,Arcade,Everyone,PlayStation 4
Dead Rising: Chop Till You Drop,2/24/2009,TOSE,Capcom,Open-World Action,Mature,Wii
Intruders: Hide and Seek,2/13/2019,Tessera Studios,Daedalic Entertainment,Action Adventure,Mature,PlayStation 4
Velocity 2X,9/2/2014,FuturLab,FuturLab,Top-Down Shoot-'Em-Up,Everyone +10,PlayStation Vita
Star Wars Galactic Battlegrounds,11/11/2001,LucasArts,LucasArts,Real-Time Strategy,Teen,PC
Soldner-X: Himmelssturmer,12/4/2008,SideQuest Studios,EastAsiaSoft,Vertical Shoot-'Em-Up,Everyone,PC
Control: AWE,8/27/2020,Remedy Entertainment,Epic Games,Action Adventure,Mature,PlayStation 4
Conquest: Frontier Wars,8/14/2001,Fever Pitch Studios,Ubisoft,Strategy,Teen,PC
"Bury me, my Love",1/10/2019,Plug In Digital,Plug In Digital,Visual Novel,Everyone +10,PC
Left 4 Dead 2: The Passing,4/22/2010,Valve Software,Electronic Arts,Tactical FPS,Mature,PC
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,6/23/2020,Purple Lamp Studios,THQ Nordic,3D Platformer,Everyone +10,PlayStation 4
Rolando 2: Quest for the Golden Orchid,7/1/2009,HandCircus,ngmoco,3D Platformer,Everyone,iOS (iPhone/iPad)
Lords of the Fallen (2014),10/28/2014,Deck 13,City Interactive,Action RPG,Mature,PlayStation 4
Malicious,7/24/2012,Alvion,SCEA,Action,Teen,PlayStation 3
Darksiders,1/5/2010,Vigil Games,THQ,Open-World Action,Mature,Xbox 360
Brutal Legend,10/13/2009,Double Fine Productions,EA Games,Open-World Action,Mature,PlayStation 3
The Banner Saga 3,7/26/2018,Stoic,Versus Evil,Turn-Based Tactics,Teen,PC
Ms. 'Splosion Man,7/13/2011,Twisted Pixel Games,Twisted Pixel Games,2D Platformer,Teen,Xbox 360
Viking: Battle for Asgard,3/25/2008,Creative Assembly,Sega,Action Adventure,Mature,PlayStation 3
Valkyria Chronicles 4,9/25/2018,Sega,Sega,Turn-Based Tactics,Teen,PlayStation 4
Kinect Sports: Season Two,10/25/2011,BigPark,Microsoft Game Studios,Sports,Everyone,Xbox 360
Time Crisis: Crisis Zone,10/19/2004,TOSE,Namco,Light Gun,Teen,PlayStation 2
Forza Motorsport 7,9/29/2017,Turn 10,Microsoft Game Studios,Auto Racing Sim,Everyone,Xbox One
NCAA Football 2004,7/16/2003,EA Sports,EA Sports,Football Sim,Everyone,PlayStation 2
Mario Superstar Baseball,8/29/2005,Namco,Nintendo,Baseball,Everyone,GameCube
Blade Strangers,8/28/2018,Studio Saizensen,Nicalis,2D Fighting,Teen,PlayStation 4
Everything,3/21/2017,David OReilly,David OReilly,Adventure,Everyone,PlayStation 4
Grand Theft Auto IV: The Lost and Damned,2/17/2009,Rockstar North,Rockstar Games,Open-World Action,Mature,Xbox 360
Space Rangers 2: Rise of the Dominators,3/27/2006,Elemental Games,Cinemaware,RPG,Teen,PC
Yomawari: Midnight Shadows,10/24/2017,Nippon Ichi Software,NIS America,Adventure,Mature,PlayStation 4
Dragon Quest Monsters: Joker 2,9/19/2011,TOSE,Nintendo,Trainer RPG,Everyone,DS
Hoyle Majestic Chess,8/14/2003,Fluent,VU Games,Board,Everyone,PC
Chicken Wiggle,8/17/2017,Atooi LLC,Atooi LLC,2D Platformer,Everyone,3DS
Sludge Life,4/8/2020,Terri Vellimann,Devolver Digital,First-Person Adventure,Mature,PC
Eternal Sonata,9/17/2007,Tri-Crescendo,Namco Bandai Games,JRPG,Teen,PlayStation 3
Evil Dead: Hail to the King,12/20/2000,Heavy Iron Studios,THQ,Survival,Mature,Dreamcast
Dusk Diver,10/29/2019,JFi Games,PQube,Action RPG,Teen,Nintendo Switch
Monster Hunter Tri,4/20/2010,Capcom,Capcom,Action RPG,Teen,Wii
Tokyo Xtreme Racer 3,11/18/2003,Genki,Crave,Auto Racing Sim,Everyone,PlayStation 2
Loons: The Fight for Fame,9/15/2002,Warthog,Infogrames,3D Fighting,Everyone,Xbox
Late Shift,4/18/2017,Wales Interactive,Wales Interactive,Adventure,Mature,PC
Battlestations: Midway,1/30/2007,Eidos Interactive,Eidos Interactive,Real-Time Strategy,Teen,PC
Hydro Thunder Hurricane,7/28/2010,Vector Unit,Microsoft Game Studios,Arcade Racing,Everyone,Xbox 360
Fate of the Dragon,3/14/2001,Object,Eidos Interactive,Real-Time Strategy,Teen,PC
Dead to Rights: Retribution,4/27/2010,Volatile Games,Namco Bandai Games,Third Person Shooter,Mature,PlayStation 3
Fritz 8 Deluxe,12/1/2004,ChessBase,Viva Media,Board,Everyone,PC
Phantom Breaker: Battle Grounds,2/27/2013,Division2,5pb,2D Beat-'Em-Up,Everyone +10,PlayStation Vita
The Jackbox Party Pack 5,10/17/2018,"Jackbox Games, Inc.","Jackbox Games, Inc.",Party,Teen,PC
Blazing Beaks,5/10/2019,Applava,QubicGames,Top-Down Shoot-'Em-Up,Everyone +10,Nintendo Switch
Flip Wars,8/10/2017,Over Fence,Nintendo,Puzzle,Teen,Nintendo Switch
Genesis Alpha One,1/29/2019,Radiation Blue,Team17,FPS,Mature,PC
Asterix & Obelix: Kick Buttix,9/14/2004,Etranges Libellules,Atari SA,3D Beat-'Em-Up,Everyone,PlayStation 2
Frontline: Fields of Thunder,4/9/2007,Nival Interactive,Paradox Interactive,Real-Time Strategy,Teen,PC
Andro Dunos 2,3/24/2022,Picorinne Soft,Just For Games,Horizontal Shoot-'Em-Up,Everyone,Nintendo Switch
Spectrobes,3/6/2007,Jupiter Corporation,Buena Vista Games,Action RPG,Everyone,DS
Zero Escape: Virtue's Last Reward,10/23/2012,ChunSoft,Aksys Games,Visual Novel,Mature,PlayStation Vita
Transformers: Rise of the Dark Spark,6/24/2014,Edge of Reality,Activision,Action Adventure,Teen,Xbox One
Dead or Alive 5,9/25/2012,Team Ninja,Tecmo Koei Games,3D Fighting,Mature,Xbox 360
Disney/Pixar Brave,6/19/2012,Disney Interactive Studios,Disney Interactive Studios,Linear Action Adventure,Everyone +10,PlayStation 3
Uplink: Hacker Elite,10/9/2001,Introversion,Strategy First,Virtual Career,Everyone,PC
Resident Evil: Revelations 2 - Episode 4: Metamorphosis,3/17/2015,Capcom,Capcom,Survival,Mature,Xbox One
Burnout 2: Point of Impact,9/30/2002,Criterion Games,Acclaim,Auto Racing,Everyone,GameCube
Save me Mr Tako: Tasukete Tako-San,10/30/2018,Christophe Galati,Nicalis,2D Platformer,Everyone +10,Nintendo Switch
Super Mario World: Super Mario Advance 2,2/9/2002,Nintendo,Nintendo,2D Platformer,Everyone,Game Boy Advance
Dead Nation: Road of Devastation,9/27/2011,Housemarque,SCEA,Top-Down Shoot-'Em-Up,Mature,PlayStation 3
Yu-Gi-Oh! The Falsebound Kingdom,11/4/2003,Konami,Konami,Real-Time Strategy,Everyone,GameCube
Werewolves Within,12/6/2016,Ubisoft,Ubisoft,Party,Everyone,PC
Tails of Iron,9/17/2021,Odd Bug Studio,United Label,Action RPG,Teen,Xbox Series X
Guild Wars 2,8/28/2012,ArenaNet,NCSOFT,MMORPG,Teen,PC
Dynasty Warriors: Gundam Reborn,7/1/2014,Omega Force,Bandai Namco Games,3D Beat-'Em-Up,Teen,PlayStation 3
Mark McMorris Infinite Air,10/25/2016,HB Studios Multimedia,Maximum Games,Skiing,Teen,PlayStation 4
Tokyo Tattoo Girls,11/14/2017,SUSHI TYPHOON GAMES,NIS America,Turn-Based Strategy,Teen,PlayStation Vita
Ty the Tasmanian Tiger 2: Bush Rescue,10/12/2004,Krome Studios,EA Games,3D Platformer,Everyone,PlayStation 2
Ferrari Challenge Trofeo Pirelli,8/26/2008,Eutechnyx,Activision,Auto Racing Sim,Everyone,PlayStation 3
Arcana Heart 3: LOVE MAX!!!!!,9/23/2014,Examu,Aksys Games,2D Fighting,Teen,PlayStation 3
Marvel's Guardians of the Galaxy - Episode 1: Tangled Up in Blue,4/18/2017,Telltale Games,Telltale Games,Third-Person Adventure,Teen,PC
The Thing,8/20/2002,Computer Artworks,Black Label Games,Survival,Mature,PlayStation 2
Will Rock,6/9/2003,Saber Interactive,Ubisoft,FPS,Mature,PC
Rayman Legends,9/3/2013,Ubisoft Montpellier,Ubisoft,2D Platformer,Everyone +10,Wii U
The Dark Pictures: Switchback VR,3/16/2023,Supermassive Games,Supermassive Games,Light Gun,Mature,PlayStation 5
Nuclear Throne,12/5/2015,Vlambeer,Vlambeer,Top-Down Shoot-'Em-Up,Everyone +10,PlayStation 4
NASCAR: Dirt to Daytona,11/11/2002,Monster Games Inc.,Infogrames,Auto Racing Sim,Everyone,PlayStation 2
Curved Space,6/29/2021,Only By Midnight,Maximum Games,Top-Down Shoot-'Em-Up,Everyone +10,PC
Hot Wheels Unleashed 2: Turbocharged,10/19/2023,Milestone S.r.l,Milestone S.r.l,Auto Racing,Everyone,Xbox Series X
Drawn to Life: Two Realms,12/7/2020,Digital Continue,505 Games,Sandbox,Everyone,PC
Dirge of Cerberus: Final Fantasy VII,8/15/2006,Square Enix,Square Enix,Action Adventure,Teen,PlayStation 2
SimAnimals,1/21/2009,Electronic Arts,Electronic Arts,Virtual Life,Everyone,Wii
Dead Space 2: Severed,3/1/2011,Visceral Games,Electronic Arts,Third Person Shooter,Mature,Xbox 360
Moon Diver,3/29/2011,FeelPlus,Square Enix,2D Beat-'Em-Up,Everyone +10,Xbox 360
Disney's Atlantis: The Lost Empire - Trial By Fire,5/17/2001,Zombie Studios,Disney Interactive,Action Adventure,Everyone,PC
Namco Museum (2002),6/10/2001,Mass Media,Namco,Compilation,Everyone,Game Boy Advance
Deus Ex: Mankind Divided - System Rift,9/27/2016,Eidos Montreal,Square Enix,Action Adventure,Mature,Xbox One
Stranger of Sword City,4/26/2016,Experience Inc.,NIS America,RPG,Teen,PlayStation Vita
Space Empires V,10/16/2006,Malfador Machinations,Strategy First,Turn-Based Strategy,Everyone,PC
Mad Max,9/1/2015,Avalanche Studios,Warner Bros. Interactive Entertainment,Open-World Action,Mature,PC
Disney/Pixar The Incredibles,10/31/2004,Heavy Iron Studios,THQ,Action Adventure,Teen,PC
Pro Evolution Soccer 2019,8/28/2018,Konami,Konami,Soccer Sim,Everyone,PC
Overcooked!,8/2/2016,Ghost Town Games Ltd.,Team17,Arcade,Everyone,PC
This Is the Police,8/2/2016,Weappy Studio,EuroVideo Medien,Strategy,Mature,PC
Metropolis Street Racer,1/15/2001,Bizarre Creations,Sega,Auto Racing Sim,Everyone,Dreamcast
Sense: A Cyberpunk Ghost Story,1/7/2021,Suzaku,Top Hat Studios Inc,Visual Novel,Mature,PC
Valfaris,10/10/2019,Steel Mantis,Big Sugar,2D Platformer,Mature,PC
King Arthur: The Role-Playing Wargame,11/24/2009,NeocoreGames,Paradox Interactive,Real-Time Strategy,Teen,PC
Fire Emblem Echoes: Shadows of Valentia,5/19/2017,Intelligent Systems,Nintendo,Turn-Based Tactics,Teen,3DS
Arcana Heart,4/10/2008,Examu,Atlus,2D Fighting,Teen,PlayStation 2
Joe Danger: Special Edition,12/14/2011,Hello Games,Microsoft Game Studios,Auto Racing,Everyone,Xbox 360
Disney DuckTales: Remastered,9/11/2013,WayForward,Capcom,2D Platformer,Everyone,Xbox 360
Tekken Revolution,6/11/2013,Namco Bandai Games,Namco Bandai Games,3D Fighting,Teen,PlayStation 3
TxK,2/11/2014,Llamasoft,Llamasoft,Top-Down Shoot-'Em-Up,Everyone,PlayStation Vita
SkyGunner,6/24/2002,Pixel Arts,Atlus,Third Person Shooter,Everyone,PlayStation 2
Contract J.A.C.K.,11/11/2003,Monolith Productions,VU Games,FPS,Mature,PC
EverQuest,3/16/1999,Sony Online Entertainment,Sony Online Entertainment,MMORPG,Teen,PC
Pokemon Black Version 2,10/7/2012,Game Freak,Nintendo,Trainer RPG,Everyone,DS
Shin Megami Tensei: Devil Summoner - Soul Hackers,4/16/2013,Atlus,Atlus,JRPG,Mature,3DS
Yo-kai Watch Blasters: Red Cat Corps,9/7/2018,Level 5,Nintendo,3D Beat-'Em-Up,Everyone +10,3DS
Worms: Battle Islands,11/22/2010,Team17,Team17,Artillery,Everyone +10,PSP
Indiana Jones and the Emperor's Tomb,2/24/2003,The Collective,LucasArts,Linear Action Adventure,Teen,Xbox
My Memory of Us,1/24/2019,Crunching Koalas,Crunching Koalas,2D Platformer,Everyone +10,PC
The Raven Remastered,3/13/2018,THQ Nordic,THQ Nordic,Point-and-Click,Teen,PlayStation 4
Might & Magic: Heroes VII,9/29/2015,Limbic Entertainment,Ubisoft,Turn-Based Strategy,Teen,PC
Touhou Genso Wanderer,3/21/2017,Mediascape,NIS America,Roguelike,Teen,PlayStation 4
Cooking Mama: Sweet Shop,5/16/2017,Office Create,Rising Star Games,Virtual Career,Everyone,3DS
State of Decay 2,5/18/2018,Undead Labs,Microsoft Game Studios,Survival,Mature,PC
Sonic Adventure DX Director's Cut,9/15/2010,Sonic Team,Sega,3D Platformer,Everyone,Xbox 360
Age of Mythology: The Titans,9/30/2003,Ensemble Studios,Microsoft Game Studios,Real-Time Strategy,Teen,PC
Dragon Quest Wars,9/28/2009,Intelligent Systems,Square Enix,Turn-Based Strategy,Everyone,DS
Godzilla,7/14/2015,NATSUME ATARI Inc.,Bandai Namco Games,Action Adventure,Teen,PlayStation 4
Kirby 64: The Crystal Shards,6/26/2000,HAL Labs,Nintendo,2D Platformer,Everyone,Nintendo 64
Assault Suit Leynos,7/14/2016,Dracue,Rising Star Games,Vertical Shoot-'Em-Up,Everyone +10,PlayStation 4
Steel Rats,11/7/2018,Tate Multimedia,Tate Multimedia,Vehicle Combat Sim,Teen,PlayStation 4
Blade & Sword,12/22/2003,Pixel Multimedia,Whiptail Interactive,Action RPG,Mature,PC
CSI: Crime Scene Investigation,3/26/2003,369 Interactive,Ubisoft,First-Person Adventure,Mature,PC
Persona 4 Golden,11/20/2012,Atlus,Atlus,JRPG,Mature,PlayStation Vita
Phantasy Star Online Ver. 2,9/24/2001,Sonic Team,Sega,RPG,Teen,Dreamcast
Red Orchestra: Ostfront 41-45,3/14/2006,Tripwire Interactive,Tripwire Interactive,FPS,Mature,PC
Close to the Sun,5/2/2019,Storm in a Teacup,Wired Productions,First-Person Adventure,Mature,PC
Motor City Online,10/29/2001,EA Games,EA Games,Auto Racing Sim,Everyone,PC
NFL Street 3,11/14/2006,EA Tiburon,EA Sports,Football,Everyone,PSP
Just Shapes & Beats,5/31/2018,Berzerk Studio,Berzerk Studio,Rhythm,Everyone +10,PC
The Sims 4: Snowy Escape,11/13/2020,Maxis,Electronic Arts,Virtual Life,Teen,PC
SoulCalibur V,1/31/2012,Project Soul,Namco Bandai Games,3D Fighting,Teen,PlayStation 3
Call of Duty: Modern Warfare 2 Campaign Remastered,3/31/2020,Infinity Ward,Activision,FPS,Mature,PlayStation 4
NHL 11,9/7/2010,Electronic Arts,Electronic Arts,Hockey Sim,Everyone +10,PlayStation 3
Romance of the Three Kingdoms XIII,7/5/2016,Koei Tecmo Games,Koei Tecmo Games,4X Strategy,Everyone +10,PC
Ring of Red,3/12/2001,Konami,Konami,Real-Time Strategy,Teen,PlayStation 2
Magicka 2,5/26/2015,Pieces Interactive,Paradox Interactive,Action Adventure,Teen,PlayStation 4
Hyrule Warriors: Definitive Edition,5/18/2018,Koei Tecmo Games,Nintendo,3D Beat-'Em-Up,Teen,Nintendo Switch
Shock Troopers,3/9/2017,Saurus,Hamster,Top-Down Shoot-'Em-Up,Teen,Nintendo Switch
Guitar Hero: On Tour,6/22/2008,Vicarious Visions,Activision,Rhythm,Everyone +10,DS
Galak-Z: Variant S,7/12/2018,17-Bit,GungHo,Vertical Shoot-'Em-Up,Everyone +10,Nintendo Switch
Naruto Shippuden: Dragon Blade Chronicles,11/12/2010,Eighting,Tomy Corporation,Action,Everyone +10,Wii
Tom Clancy's The Division,3/8/2016,Massive Entertainment,Ubisoft,Tactical Third Person Shooter,Mature,Xbox One
Geoff Crammond's Grand Prix 4,9/10/2002,MicroProse,Infogrames,Auto Racing Sim,Everyone,PC
Call of Duty: Modern Warfare - Mobilized,9/29/2009,n-Space,Activision,FPS,Teen,DS
Grindstone,12/15/2020,Capy Games,Capy Games,Matching Puzzle,Teen,iOS (iPhone/iPad)
